"Id","Title","URL","Author","Co-Author","IsSpliced?","Plays","Splices","Released Splices","Likes","Date","Comments"
25,"Free Ableton Template / Free Ableton Project ""Hideout""","https://splice.com/abletunes/free-ableton-template-free-ableton-project","abletunes","-","False","3,059","445","1","53","13/07/2018","5"
26,"Free EDM Construction Kits","https://splice.com/abletunes/free-edm-construction-kits-sample-pack","abletunes","-","False","510","33","0","6","13/07/2018","0"
27,"Free Instrument Racks for Ableton Live (Operator-based)","https://splice.com/abletunes/free-instrument-racks-for-ableton-live-operator-based","abletunes","-","False","447","40","0","2","13/07/2018","0"
28,"""Future Bass Drums"" Sample Pack Sneak Peek [FREE taster link in the description]","https://splice.com/abletunes/future-bass-drums-sample-pack-free-taster","abletunes","-","False","520","32","0","2","13/07/2018","0"
29,"Techno Ableton Live Template ""Korat""","https://splice.com/abletunes/techno-ableton-live-template-korat","abletunes","-","False","1,014","182","0","13","13/07/2018","0"
30,"Chilly","https://splice.com/adamflorin/chilly","adamflorin","greaterthanzero-joshspoon-neil-sanderowen-simbalic-kytrinyx-justinasher","False","357","16","0","5","13/07/2018","1"
31,"Superb Owl","https://splice.com/adamflorin/superb-owl","adamflorin","-","False","586","25","0","10","13/07/2018","3"
32,"What's up now","https://splice.com/adamflorin/what-s-up-now","adamflorin","seap-markokoh-moongiia-hiko","False","87","0","0","1","13/07/2018","0"
33,"snowBelt","https://splice.com/adampatrickbell/snowbelt","adampatrickbell","therewasaguy-ethanhein","False","70","1","0","2","13/07/2018","0"
34,"303 Template","https://splice.com/agola/303-template","agola","brett","False","385","23","0","0","13/07/2018","0"
35,"Agola - Theater","https://splice.com/agola/agola---theater","agola","bktest","False","85","0","0","2","13/07/2018","1"
36,"AGOLA - OPERATOR KICKS","https://splice.com/agola/agola-operator-kicks","agola","andy","False","83","1","0","0","13/07/2018","0"
37,"Agola - Save My Soul","https://splice.com/agola/agola-save-my-soul","agola","cainenovak","False","125","5","0","0","13/07/2018","1"
38,"Beyond Reach (Agola Remix)","https://splice.com/agola/beyond-reach-agola-remix","agola","-","https://splice.com/ganjie/beyond-reach","174","3","0","2","13/07/2018","5"
39,"Deep Lake Enchantment (FEAT. Vicencia)","https://splice.com/agola/deep-lake-enchantment-feat-vicencia","agola","-","False","206","4","0","3","13/07/2018","1"
40,"Dessen","https://splice.com/agola/dessen","agola","bktest","False","305","12","0","3","13/07/2018","0"
41,"Elliott Dub","https://splice.com/agola/elliott-dub","agola","-","False","228","17","0","3","13/07/2018","1"
42,"La_Musica_Grande_Tenerife_original","https://splice.com/agola/la_musica_grande_tenerife_original","agola","bktest","False","121","9","0","2","13/07/2018","1"
43,"My Love","https://splice.com/agola/my-love","agola","-","https://splice.com/steakbird/c453b054-0dcc-7380-c009-de93524581aa9ac81d2","823","27","0","5","13/07/2018","0"
44,"Stage","https://splice.com/agola/stage","agola","-","False","597","30","0","7","13/07/2018","0"
45,"Tech dance (Agola's Massive DJ tool Remix)","https://splice.com/agola/tech-dance-agola-s-massive-dj-tool-remix","agola","-","https://splice.com/partypeople/tech-dance","245","13","0","5","13/07/2018","2"
46,"Alex Menco - Deepness (Future House, Deep House)","https://splice.com/alexmenco/alex-menco---deepness-future-house-deep-house","alexmenco","-","False","4,699","501","0","65","13/07/2018","4"
47,"Alex Menco - Scream (FREE Future House Template)","https://splice.com/alexmenco/alex-menco---scream-free-future-house-template","alexmenco","-","False","3,565","375","0","44","13/07/2018","0"
48,"COSMOS by Alex Menco (Bigroom House, Electro House, EDM) / Midi Production","https://splice.com/alexmenco/cosmos-by-alex-menco-bigroom-house-electro-house-edm--midi-production","alexmenco","-","False","2,321","227","0","24","13/07/2018","0"
