Username;AuthorPlays;AuthorLikes;Followers;SignUp Date;Releases;HasBio
AstorAruba;1112;13;0;22/01/2015;1;False
aukie;4345;67;4;22/01/2015;4;False
AustinLoo;3143;39;2;22/01/2016;1;True
aylen;2030;10;130;22/01/2014;8;False
Azodiac;11261;211;42;21/01/2017;5;True
babslive;1112;13;1;22/01/2015;1;False
bae_bro;1022;4;2;22/01/2014;7;False
Baewatch;7982;138;122;22/01/2015;2;True
bakhu;1112;13;0;22/01/2015;1;False
bakir;2746;35;32;22/01/2014;7;True
bangingbeats;1112;13;1;22/01/2015;1;False
barbershreds;2518;16;24;22/01/2013;12;True
Bassjackers;71065;670;140;22/01/2016;1;False
basskleph;24716;268;59;22/01/2014;1;True
Bassology;258;3;70;22/01/2015;1;True
bastorama;9418;29;1;22/01/2015;1;False
batrak;1622;23;20;22/01/2014;1;True
bcohen3;1650;18;0;22/01/2015;2;False
BeatDown;179;15;3;22/01/2015;2;False
bebopkid;514;5;4;22/01/2015;1;False
Beluga;7376;96;16;22/01/2015;15;True
BenAbstrakt;1112;13;0;22/01/2015;1;False
BenOwlens;1787;6;2;21/01/2017;2;True
bisswill;1112;13;0;22/01/2015;1;False
BIVify;1112;13;0;22/01/2015;1;False
bktest;2023;13;0;22/01/2014;9;False
Blondifox;1550;22;3;23/10/2017;5;True
blueMiki;1112;13;0;22/01/2015;1;False
BOXXXX;8324;139;160;25/07/2017;6;True
bpershyn;1650;18;0;22/01/2015;2;False
Br0seidon;9;3;0;26/05/2017;1;False
Br3akPoint;12723;158;34;27/03/2017;8;True
bretsil;513;9;4;22/01/2016;2;True
brett;102748;1317;282;22/01/2014;15;True
brianraj;1650;18;0;22/01/2015;2;False
brianwichmann2010;1267;6;0;22/01/2015;4;False
BrooksWayne;1112;13;0;22/01/2015;1;False
brosafari;52535;554;840;22/01/2014;9;True
BSe7en;1112;13;0;22/01/2015;1;False
burtfox;95;3;2;22/01/2015;2;False
cainenovak;4081;15;30;22/01/2014;15;True
calgarc;1112;13;1;22/01/2015;1;False
calvinharris;462;2;0;22/01/2015;1;False
camino;21939;203;195;22/01/2014;15;False
capcom;1254;5;25;22/01/2014;7;True
Chadsab100;695;31;5;25/06/2017;3;True
CHAE;2759;73;20;22/01/2016;15;False
chandlerhicks08;1112;13;0;22/01/2015;1;False
charliebruh;79701;1020;158;22/01/2015;15;True
Charm;10199;162;9;22/01/2016;2;False
Chimmer;96559;1292;293;22/01/2016;15;True
CHMurray345;443;0;0;22/01/2015;1;False
chornstar;1112;13;0;22/01/2015;1;False
chrislyons;469;2;1;22/01/2014;3;False
christianjackson;1112;13;0;22/01/2015;1;False
chudweezy;729;0;1;22/01/2015;1;True
CircuitBent;8825;58;10;21/01/2017;1;False
clarasinephro;1650;18;0;22/01/2015;2;False
clublifevol5;41578;299;403;22/12/2017;10;True
colorthought;3914;62;8;22/01/2015;2;True
computo;1112;13;1;22/01/2015;1;False
connerthomas;1112;13;0;22/01/2015;1;True
costav;1112;13;0;22/01/2015;1;False
cousincole;987;1;8;22/01/2014;5;False
croe;811;21;12;22/01/2014;5;True
Crowdsplicer;13332;91;66;22/01/2015;3;True
cubecutter;1650;18;0;22/01/2015;2;False
Cuttle;3555;27;5;22/01/2015;3;False
D_JainZ;17719;123;27;23/09/2017;15;True
dadewoyin;748;9;2;22/01/2015;4;False
Dainank;34725;510;70;22/01/2016;15;True
Daitshi;5447;67;1;22/01/2016;1;False
dallask;108203;1484;291;22/01/2015;1;True
dalvarezdetoled;1650;18;1;22/01/2015;2;False
danibosco;156;0;1;22/01/2014;1;False
danieln;1112;13;0;22/01/2015;1;False
dashberlin;462;2;1;22/01/2015;1;False
dawtemplates;70719;455;309;22/01/2015;8;True
DCMG;2982;12;3;22/01/2016;3;True
delta9;13863;85;14;25/06/2017;15;True
deluga;1113;13;3;22/01/2015;3;True
demo;115;0;0;22/01/2014;1;False
Demokracy;27;6;5;22/01/2015;1;True
deodata;95;0;0;22/01/2015;1;False
determinators;1267;6;4;22/01/2015;4;False
devinmenzies;1112;13;2;22/01/2015;1;False
dfriedla;9418;29;5;22/01/2015;1;False
dglazkov;307;2;1;22/01/2015;2;False
dharmatu;1112;13;0;22/01/2015;1;False
dimitriveimar;1267;6;0;22/01/2015;4;False
divanov;1650;18;0;22/01/2015;2;False
djadhd;572;6;13;22/11/2017;7;True
djjavi516;573;0;1;22/01/2014;1;False
djki;443;0;11;22/01/2015;1;True
djkrza;1112;13;0;22/01/2015;1;False
djmeddle;1112;13;0;22/01/2015;1;False
DJSNOWBALL;156;8;1;23/09/2017;1;False
djtantric;315;6;2;22/01/2015;3;False
djthomasgold;21740;244;134;22/01/2016;1;False
DJUDE;449;7;1;21/01/2017;2;True
dmillz;189;0;9;22/01/2014;2;False
DntFckWithCOWS;578;1;0;23/10/2017;2;False
doctajeep;1449;19;72;22/01/2015;2;True
doodle;560;6;9;22/01/2014;5;False
doorja;1112;13;0;22/01/2015;1;False
dragz1011;1112;13;2;22/01/2015;1;False
Draiocht;399;4;0;22/11/2017;1;False
DrFresch;401;9;9;22/01/2016;1;False
duckhunter;49021;435;437;22/01/2014;15;True
duncan;9651;35;6;22/01/2014;3;True
DVBLEX;25225;325;81;22/01/2016;4;True
dyro;153408;1411;1632;22/01/2015;2;False
dysrupt;1531;2;9;22/01/2014;12;True
ebuffalo;63;0;1;22/01/2015;1;True
edcosden;1112;13;0;22/01/2015;1;False
edmmusictemplates;38851;340;101;27/03/2017;4;True
EmmaPace;1112;13;0;22/01/2015;1;False
endlessspace;669;0;4;22/01/2014;6;False
Enter_Entity;1112;13;0;22/01/2015;1;False
ephixa;20544;1118;92;22/01/2015;1;True
eqlizion;1267;6;0;22/01/2015;4;False
equal;1112;13;0;22/01/2015;1;False
ericsharp;673;7;17;22/01/2015;1;False
erinbarra;862;2;10;22/01/2014;6;True
ethanhein;5113;27;8;22/01/2014;15;True
EtherealEDM;1506;20;9;22/01/2016;1;True
evanphx;115;0;1;22/01/2014;1;False
everythingability;910;1;2;22/01/2015;15;True
exploratio;15420;169;17;22/01/2014;6;False
F4ST;133;8;9;22/01/2016;1;True
Fauxfaux;1112;13;2;22/01/2015;1;True
feewet;6835;69;79;22/01/2015;6;True
fenoli;1;0;3;22/01/2015;1;False
fentonofficial;816;17;14;22/01/2015;4;True
fhwang007;233;1;2;22/01/2014;1;False
finitedeer;221;0;1;22/01/2015;4;False
Firebeatz;63897;340;250;22/01/2015;1;False
fishintunapuna;12286;48;11;22/01/2016;5;True
fitzgr;1112;13;1;22/01/2015;1;False
FLPFamily;7569;52;33;22/01/2016;15;True
FLVT0;2781;28;8;22/01/2015;2;True
fomil;41328;417;133;22/01/2015;12;True
foxstevenson;10776;182;357;22/01/2015;1;False
FrankJavCee;3230;47;105;22/01/2015;3;True
fredoge;6613;55;10;22/11/2017;7;True
FreeAbletonTemplates;4554;39;20;26/05/2017;4;True
Frost_99;9418;29;1;22/01/2015;1;False
fullflex;1543;8;10;22/01/2015;3;True
fuzuku;1999;8;8;22/01/2014;11;True
Gadpix;1863;12;2;22/01/2015;6;True
galactronics;539;16;0;22/01/2015;1;False
ganjie;12437;96;163;22/01/2014;15;True
gato007;317;0;2;22/01/2016;1;False
geerten14;1267;6;0;22/01/2015;4;False
genia;187;1;0;22/01/2014;2;False
geometree;469;2;2;22/01/2014;3;False
georgegurdjieff;71;8;5;22/01/2015;1;False
getyoursnackon;16714;99;303;22/01/2014;4;False
giselle;1112;13;0;22/01/2015;1;False
gleyzeddonut;1650;18;0;22/01/2015;2;False
Gogogo757575;9418;29;7;22/01/2015;1;True
goyama;2091;22;21;22/01/2014;1;True
greaterthanzero;1129;9;6;22/01/2014;10;True
grimeshine;514;5;3;22/01/2015;1;False
gvsbeatbox;2091;22;1;22/01/2015;1;False
hallagram;72;9;3;22/01/2015;1;False
hardwell;462;2;7;22/01/2015;1;False
hartthorson;1112;13;2;22/01/2015;1;False
Hayloe;239;15;4;21/01/2017;1;False
haywyre;25153;294;516;22/01/2015;3;False
henryfong;188375;1527;3701;22/01/2015;1;True
hiko;682;10;6;22/01/2014;7;False
hishamdahud;1112;13;1;22/01/2015;1;False
HugoEncalada;1112;13;0;22/01/2015;1;False
human_machine;221;0;1;22/01/2015;4;False
iamchrisle;1842;117;11;22/01/2015;5;False
ibv;1112;13;0;22/01/2015;1;False
icebraker;13432;102;155;22/01/2014;15;True
ignelzi;1112;13;0;22/01/2015;1;False
IScreamedWolf;202;2;0;22/01/2016;1;True
ivvn;1006;11;10;22/01/2014;8;False
JaaeKashProduktions;895;6;3;29/12/2017;1;False
jaclynperrone;210;3;3;22/01/2015;1;False
jacob_hall_420_cg;164;2;1;21/01/2017;1;False
jakelamante;373;2;6;22/01/2014;1;False
jakubciupinski;539;16;1;22/01/2015;1;False
JaserBlades;175;2;4;22/01/2016;1;True
jauz;22875;382;585;22/01/2014;1;False
Jaxx_Styles;2247;9;6;21/01/2017;3;False
jeffreyemilio;836;9;2;22/01/2015;4;False
JettGuerra;1112;13;1;22/01/2015;1;False
jgfresh1997;4617;38;22;22/01/2015;6;False
jikay;6372;67;20;22/01/2014;1;False
jinks;6620;58;81;22/01/2014;9;False
johngutowski;1644;43;44;22/01/2014;7;True
JohnMillerProductions;2788;17;19;22/01/2016;1;False
johnvon;1112;13;3;22/01/2014;1;True
Joinas2;274;11;3;24/08/2017;2;True
joma;1267;6;6;22/01/2014;4;False
jordan_martin;1650;18;0;22/01/2015;2;False
joseph_caruso;1112;13;0;22/01/2015;1;False
joshholiday;1170;21;2;22/01/2015;3;False
joshspoon;2443;11;32;22/01/2014;12;True
JQuiros85;1112;13;0;22/01/2015;1;False
jrsa;187;1;1;22/01/2014;2;False
jstrauss;1112;13;0;22/01/2015;1;False
jtrick;194794;1573;599;22/01/2015;2;True
judo;1256;8;21;22/01/2014;5;False
juliandoe;539;17;0;25/07/2017;6;True
julotbd;1112;13;0;22/01/2015;1;False
juronomo;29041;358;334;22/01/2014;15;True
justinasher;657;5;0;22/01/2014;4;False
JustinJames;1112;13;4;22/01/2015;1;False
KarimB;700;44;331;22/01/2015;1;False
karun;1650;18;0;22/01/2015;2;False
katrinaowen;250;1;4;22/01/2014;1;False
Kavii;7692;69;12;22/01/2016;3;True
Kelmo;1112;13;0;22/01/2015;1;False
Khals;15438;82;53;22/01/2015;5;True
killerkrazzy;5515;91;9;22/01/2016;3;True
kjsawka;32752;271;741;22/01/2014;13;True
Komodo;71409;681;186;22/01/2015;15;True
KookyScientist;1650;18;3;22/01/2015;2;False
krane;88772;1248;376;22/01/2015;3;True
krispopat;817;1;2;22/01/2015;15;False
kseebaldt;187;1;0;22/01/2014;2;False
kshmr;594344;5531;5304;22/01/2015;8;True
KyleCovan;1650;18;0;22/01/2015;2;False
kylenufrio;1112;13;0;22/01/2015;1;False
kytrinyx;450;5;6;22/01/2014;2;False
laj35;1;0;2;22/01/2015;1;False
laserkraft3d;3914;62;3;22/01/2014;2;True
laylae;355;1;7;22/01/2014;2;True
LeglessBoxer;5061;72;5;22/01/2015;5;True
leocacao;1267;6;0;22/01/2015;4;False
leshouze;13611;133;27;22/01/2015;1;True
leukos;998;13;6;22/01/2015;5;True
lockyn;197;7;15;22/01/2015;1;True
LONGBOARDGREEN;126;1;0;22/11/2017;4;False
LookThis;71;10;0;29/12/2017;1;True
Ltaylor107;252;11;0;21/01/2017;1;False
lucatesta;1267;6;6;22/01/2015;4;False
luckycharm123;963;12;7;22/01/2015;3;True
lucretive;9418;29;3;22/01/2015;1;False
LuisAscencio;1112;13;1;22/01/2015;1;False
Lushwork;1112;13;0;22/01/2015;1;False
lustalife;6;0;0;22/01/2015;2;False
lytmusic1225;1112;13;0;22/01/2015;1;False
Lyzn-Line;1499;19;5;23/09/2017;2;True
lzax;373;4;4;21/01/2017;3;False
m3t1;6611;91;22;22/01/2014;11;True
m4m;30382;184;215;22/01/2014;15;True
Maidden;9936;144;46;22/01/2016;4;True
makadeli;1650;18;1;22/01/2014;2;False
mandigerami;1112;13;0;22/01/2015;1;False
marcellm;1112;13;1;22/01/2015;1;False
marcutio;828;75;70;22/01/2016;4;True
mariotoronto;1112;13;0;22/01/2015;1;False
markokoh;682;10;5;22/01/2014;7;False
marsattacks;30041;289;162;22/01/2014;15;True
marshmello;72618;1119;371;22/01/2016;1;False
martinh;34;0;0;22/01/2015;3;False
martintime;9525;106;27;22/01/2015;8;True
MatiasApril;1245;8;4;22/01/2016;4;False
matmatmatmat;252;11;0;26/04/2017;1;False
matt_grandy;233;6;2;22/01/2014;2;False
mattetti;5965;43;89;22/01/2013;15;True
matth;669;0;3;22/01/2014;6;True
mattossentjuk;1112;13;0;22/01/2015;1;False
maxwatts;205;0;0;21/01/2017;1;True
MeatPuppet;3114;20;2;27/03/2017;2;False
meckanical;3914;62;1;22/01/2015;2;False
meeshanth;2633;28;43;22/01/2016;2;True
mfwijsmuller;1267;6;0;22/01/2015;4;False
micahvallardsmith;1112;13;2;22/01/2015;1;False
michelmoustache;1112;13;1;22/01/2015;1;False
